cclasstrib;cst;descricao;versao_it;fonte
200028;200;Fornecimento dos serviços de educação (Anexo II);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200029;200;Fornecimento dos serviços de saúde humana (Anexo III);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200030;200;Venda dos dispositivos médicos (Anexo IV);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200031;200;Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo V);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200032;200;Fornecimento dos medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação, ressalvados os medicamentos sujeitos à alíquota zero;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200033;200;Fornecimento das composições para nutrição enteral e parenteral (Anexo VI);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200034;200;Fornecimento dos alimentos destinados ao consumo humano (Anexo VII);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200035;200;Fornecimento dos produtos de higiene pessoal e limpeza (Anexo VIII);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200036;200;Fornecimento de produtos agropecuários, aquícolas, pesqueiros, florestais e extrativistas vegetais in natura;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200037;200;Fornecimento de serviços ambientais de conservação ou recuperação da vegetação nativa;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200038;200;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200039;200;Fornecimento dos bens e serviços relacionados com produções nacionais artísticas, culturais, de eventos, jornalísticas e audiovisuais (Anexo X);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200040;200;Fornecimento de serviços de comunicação institucional à administração pública;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200041;200;Fornecimento de serviço de educação desportiva (art. 141, I);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200042;200;Fornecimento de serviço de gestão e exploração do desporto (art. 141, II);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200043;200;Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200044;200;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200045;200;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200046;200;Operações com bens imóveis;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200047;200;Bares e Restaurantes;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200048;200;Hotelaria, Parques de Diversão e Parques Temáticos;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200049;200;Transporte coletivo de passageiros rodoviário, ferroviário e hidroviário;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200050;200;Serviços de transporte aéreo regional coletivo de passageiros ou de carga;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200051;200;Agências de Turismo;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200052;200;Prestação de serviços de profissões intelectuais;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200053;200;Fornecimento de medicamentos registrados na Anvisa, quando classificados como soros ou vacinas;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200054;200;Fornecimento de bem material pela cooperativa de produção agropecuária a associado não sujeito ao regime regular do IBS e da CBS;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
220001;220;Incorporação imobiliária submetida ao regime especial de tributação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
220002;220;Incorporação imobiliária submetida ao regime especial de tributação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
220003;220;Alienação de imóvel decorrente de parcelamento do solo;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
221001;221;Locação, cessão onerosa ou arrendamento de bem imóvel com alíquota sobre a receita bruta;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
221002;221;Incorporação imobiliária submetida ao regime especial de tributação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
221003;221;Incorporação imobiliária submetida ao regime especial de tributação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
221004;221;Alienação de imóvel decorrente de parcelamento do solo;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
222001;222;Transporte internacional de passageiros, caso os trechos de ida e volta sejam vendidos em conjunto;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
400001;400;Fornecimento de serviços de transporte público coletivo de passageiros rodoviário e metroviário;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
400002;400;Fornecimento de serviços de transporte público coletivo de passageiros rodoviário e metroviário com medição por quilômetro rodado;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
